"Year","State","State_Code","Commodity","Species","Product_Type","Unit","Value","Wholesale_Type"
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","ALL PRODUCTS","OPERATIONS",7,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","ALL PRODUCTS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","BROODSTOCK","OPERATIONS",1,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","BROODSTOCK","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","BROODSTOCK","HEAD",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","BROODSTOCK","LB",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","BROODSTOCK","LB_PER_HEAD",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","EGGS","OPERATIONS",3,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","EGGS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","EGGS","EGGS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FINGERLINGS & FRY","OPERATIONS",1,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FINGERLINGS & FRY","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FINGERLINGS & FRY","HEAD",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FOODSIZE","OPERATIONS",4,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FOODSIZE","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FOODSIZE","HEAD",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FOODSIZE","LB",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","FOODSIZE","LB_PER_HEAD",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","STOCKERS","OPERATIONS",3,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","STOCKERS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","STOCKERS","HEAD",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","STOCKERS","LB",NA,NA
2013,"US",0,"FOOD FISH","ATLANTIC SALMON","STOCKERS","LB_PER_HEAD",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","ALL PRODUCTS","OPERATIONS",3,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","ALL PRODUCTS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","EGGS","OPERATIONS",1,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","EGGS","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","EGGS","EGGS",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","FOODSIZE","OPERATIONS",2,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","FOODSIZE","DOLLARS",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","FOODSIZE","HEAD",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","FOODSIZE","LB",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","FOODSIZE","LB_PER_HEAD",NA,NA
2013,"US",0,"FOOD FISH","PACIFIC SALMON","STOCKERS","OPERATIONS",1,NA
