MFG_FIRM_FEI_NUM,Declared_Manufacturer,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,COUNTRY_NAME,FULL_ADDRESS,CITY_COUNTRY,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,ACT_SECTION_CHARGES,REFUSAL_CHARGES_1,REFUSAL_CHARGES_2,REFUSAL_CHARGES_3,REFUSAL_CHARGES_4,REFUSAL_CHARGES_5,REFUSAL_CHARGES_6,REFUSAL_CHARGES_7,PRDCT_CODE_DESC_TEXT
3003863682,Minh Hai-Nissui Girimex Company(Minh Hai Nigico),National Road 1a Ho Phong Towngiaral,,Bac Liew Province,,VN, Viet Nam,"National Road 1a Ho Phong Towngiaral, ,  Viet Nam","Bac Liew Province,  Viet Nam",16JGD05,2002-01-08,FLA-DO,D97-0041783-2,1,1,,No,No,FILTHY,,,,,,,,SHRIMP & PRAWNS
3013301881,Cadovimex Seafood Import-Export & Processing,Cai Doi Vam Town,Phu Tan District,Soc Trang,,VN, Viet Nam,"Cai Doi Vam Town, ,  Viet Nam","Soc Trang,  Viet Nam",16JFD05,2002-01-08,FLA-DO,D97-0218373-9,1,1,,No,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3013301881,Cadovimex Seafood Import-Export & Processing,Cai Doi Vam Town,Phu Tan District,Soc Trang,,VN, Viet Nam,"Cai Doi Vam Town, ,  Viet Nam","Soc Trang,  Viet Nam",16JFD05,2002-01-08,FLA-DO,D97-0218373-9,2,1,,No,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3013301881,Cadovimex Seafood Import-Export & Processing,Cai Doi Vam Town,Phu Tan District,Soc Trang,,VN, Viet Nam,"Cai Doi Vam Town, ,  Viet Nam","Soc Trang,  Viet Nam",16JFD05,2002-01-08,FLA-DO,D97-0218373-9,3,1,,No,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3006299533,Seaprimexco,8 Cao Thang,,California Mau,VN-NOTA,VN, Viet Nam,"8 Cao Thang, VN-NOTA,  Viet Nam","California Mau,  Viet Nam",16JFD05,2002-01-09,NYK-DO,F23-0877900-8,1,1,,Yes,Yes,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3003435390,Pt.Eratama Putra Mandiri,Jl.Dr.Kusumaatmaja No.61,,Jakarta Pusat,,ID, Indonesia,"Jl.Dr.Kusumaatmaja No.61, ,  Indonesia","Jakarta Pusat,  Indonesia",16XGD21,2002-01-10,LOS-DO,713-0162521-7,1,1,,No,No,SALMONELLA,FILTHY,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3003456397,Pt. Putri Anemon Sakti,Jl.Prof.Majid Ibrahim,,Aceh Timur,,ID, Indonesia,"Jl.Prof.Majid Ibrahim, ,  Indonesia","Aceh Timur,  Indonesia",16XGD21,2002-01-10,LOS-DO,713-0162522-5,2,1,,No,No,FILTHY,SALMONELLA,SALMONELLA,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3003456397,Pt. Putri Anemon Sakti,Jl.Prof.Majid Ibrahim,,Aceh Timur,,ID, Indonesia,"Jl.Prof.Majid Ibrahim, ,  Indonesia","Aceh Timur,  Indonesia",16XGD21,2002-01-10,LOS-DO,713-0162522-5,3,1,,No,No,FILTHY,SALMONELLA,SALMONELLA,INSANITARY,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3003905991,Grandtrust Overseas Pvt. Ltd.,Grandtrust Centre 173  Habibulla Road T.,,Chennai,,IN, India,"Grandtrust Centre 173  Habibulla Road T., ,  India","Chennai,  India",16JFD05,2002-01-14,NYK-DO,991-0119023-1,1,1,,No,No,SALMONELLA,FILTHY,,,,,,,SHRIMP & PRAWNS
3004650285,Delta Fish Ltd.,"Chandpur, Devhata",,Satkhira,Bd-58,BD, Bangladesh,"Chandpur, Devhata, Bd-58,  Bangladesh","Satkhira,  Bangladesh",16JGT05,2002-01-14,NWE-DO,EF1-0033001-0,1,1,,No,Yes,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3004650285,Delta Fish Ltd.,"Chandpur, Devhata",,Satkhira,Bd-58,BD, Bangladesh,"Chandpur, Devhata, Bd-58,  Bangladesh","Satkhira,  Bangladesh",16JGT05,2002-01-14,NWE-DO,EF1-0033001-0,2,1,,No,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3004650285,Delta Fish Ltd.,"Chandpur, Devhata",,Satkhira,Bd-58,BD, Bangladesh,"Chandpur, Devhata, Bd-58,  Bangladesh","Satkhira,  Bangladesh",16JGT05,2002-01-14,NWE-DO,EF1-0033001-0,4,1,,No,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
3009928538,RVR MARINE PRODUCTS LTD,R.S No:35/4 & 5,"Kopalle Village, Kalla Mandal",Bhimavaram,Andhra Pradesh,IN, India,"R.S No:35/4 & 5, Andhra Pradesh,  India","Bhimavaram,  India",16JFD05,2002-01-14,NYK-DO,F23-0878461-0,1,1,,No,No,FILTHY,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3004650285,Delta Fish Ltd.,"Chandpur, Devhata",,Satkhira,Bd-58,BD, Bangladesh,"Chandpur, Devhata, Bd-58,  Bangladesh","Satkhira,  Bangladesh",16JGT05,2002-01-14,NWE-DO,XXX-0040255-3,1,4,,No,No,SALMONELLA,,,,,,,,SHRIMP & PRAWNS
1000134227,Delta Fish Limited (office),"51 Khan-A-Sabur Rd., 3rd. Fl.",,Khulna,,BD, Bangladesh,"51 Khan-A-Sabur Rd., 3rd. Fl., ,  Bangladesh","Khulna,  Bangladesh",16XGD21,2002-01-14,NYK-DO,594-0117493-9,1,1,,No,No,FILTHY,SALMONELLA,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
1000134227,Delta Fish Limited (office),"51 Khan-A-Sabur Rd., 3rd. Fl.",,Khulna,,BD, Bangladesh,"51 Khan-A-Sabur Rd., 3rd. Fl., ,  Bangladesh","Khulna,  Bangladesh",16XGD21,2002-01-14,NYK-DO,594-0117493-9,2,1,,No,No,SALMONELLA,FILTHY,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
1000134227,Delta Fish Limited (office),"51 Khan-A-Sabur Rd., 3rd. Fl.",,Khulna,,BD, Bangladesh,"51 Khan-A-Sabur Rd., 3rd. Fl., ,  Bangladesh","Khulna,  Bangladesh",16XGD21,2002-01-14,NYK-DO,594-0117493-9,3,1,,No,No,SALMONELLA,FILTHY,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
1000134227,Delta Fish Limited (office),"51 Khan-A-Sabur Rd., 3rd. Fl.",,Khulna,,BD, Bangladesh,"51 Khan-A-Sabur Rd., 3rd. Fl., ,  Bangladesh","Khulna,  Bangladesh",16XGD21,2002-01-14,NYK-DO,594-0117493-9,4,1,,No,No,SALMONELLA,FILTHY,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3003096898,Bengal Frozen Foods,Sandy Lane Farmsandey Lane Aveley,,Essex,,IN, India,"Sandy Lane Farmsandey Lane Aveley, ,  India","Essex,  India",16JFD05,2002-01-23,NYK-DO,077-1003917-8,2,1,,No,No,FILTHY,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-23,LOS-DO,082-0248305-6,1,1,,No,No,FILTHY,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-23,LOS-DO,082-0248305-6,1,2,,No,No,FILTHY,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-23,LOS-DO,082-0248305-6,2,1,,No,No,SALMONELLA,FILTHY,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-23,LOS-DO,082-0248305-6,2,2,,No,No,FILTHY,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-23,LOS-DO,082-0248305-6,3,1,,No,No,FILTHY,SALMONELLA,,,,,,,SHRIMP & PRAWNS
3003044889,Pt. Fishindomakmur Santoso Frozen Seafoods Processor & Expor,Jl. Raya Cakung-Alincing Kv Rt.007/04,,Jakarta,,ID, Indonesia,"Jl. Raya Cakung-Alincing Kv Rt.007/04, ,  Indonesia","Jakarta,  Indonesia",16JGD05,2002-01-23,LOS-DO,082-0248305-6,3,2,,No,No,SALMONELLA,FILTHY,,,,,,,SHRIMP & PRAWNS
