MFG_FIRM_FEI_NUM,Declared_Manufacturer,LINE1_ADRS,LINE2_ADRS,CITY_NAME,PROVINCE_STATE,ISO_CNTRY_CODE,COUNTRY_NAME,FULL_ADDRESS,CITY_COUNTRY,PRODUCT_CODE,REFUSAL_DATE,DISTRICT,ENTRY_NUM,RFRNC_DOC_ID,LINE_NUM,LINE_SFX_ID,FDA_SAMPLE_ANALYSIS,PRIVATE_LAB_ANALYSIS,ACT_SECTION_CHARGES,REFUSAL_CHARGES_1,REFUSAL_CHARGES_2,REFUSAL_CHARGES_3,REFUSAL_CHARGES_4,REFUSAL_CHARGES_5,REFUSAL_CHARGES_6,REFUSAL_CHARGES_7,PRDCT_CODE_DESC_TEXT
3000000000,"B.S.A.FOOD PRODUCTS CO.,LTD",Bangya Coldstorage,1278 Wichienchodok Road,Muang Samut Sakhon,Samut Sakhon,TH,Thailand,"Bangya Coldstorage, Muang Samut Sakhon, Samut Sakhon, Thailand","Muang Samut Sakhon, Thailand",16XGT21,8/21/2014,NYK-DO,KM6-0071160-0,2,1,,No,No,"249, 9",FILTHY, SALMONELLA,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,Rosemco Foods limited,"Niklapur,Rupsha,Khulna",,Khulna,BD-27,BD,Bangladesh,"Niklapur,Rupsha,Khulna, Khulna, BD-27, Bangladesh","Khulna, Bangladesh",16XGD21,11/12/2014,DNEI,KM6-0071212-9,2,3,,No,Yes,249,FILTHY,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,"Blue Sail Logistics And Trading Co., Ltd.","29/524 Le Duc Tho, Ward 15, Go Vap",,Ho Chi Minh City,,VN,Vietnam,"29/524 Le Duc Tho, Ward 15, Go Vap, Ho Chi Minh City, , Vietnam","Ho Chi Minh City, Vietnam",16JGT05,4/23/2014,LOS-DO,GL5-0340618-0,7,1,,No,No,218,LIST INGRE,,,,,,,SHRIMP & PRAWNS
3010000000,"Blue Sail Logistics And Trading Co., Ltd.","29/524 Le Duc Tho, Ward 15, Go Vap",,Ho Chi Minh City,,VN,Vietnam,"29/524 Le Duc Tho, Ward 15, Go Vap, Ho Chi Minh City, , Vietnam","Ho Chi Minh City, Vietnam",16YGT12,4/23/2014,LOS-DO,GL5-0340618-0,8,1,,No,No,218,LIST INGRE,,,,,,,"SHRIMP PASTE, FISHERY PRODUCTS, N.E.C."
3010000000,"Blue Sail Logistics And Trading Co., Ltd.","29/524 Le Duc Tho, Ward 15, Go Vap",,Ho Chi Minh City,,VN,Vietnam,"29/524 Le Duc Tho, Ward 15, Go Vap, Ho Chi Minh City, , Vietnam","Ho Chi Minh City, Vietnam",16YGT12,4/23/2014,LOS-DO,GL5-0340618-0,9,1,,No,No,218,LIST INGRE,,,,,,,"SHRIMP PASTE, FISHERY PRODUCTS, N.E.C."
3000000000,Hoang Phuong Seafood Factory,Tai Van Village,"No. 934, Lot A, No. 24 Provincial Road",Soc Trang,Soc Trang,VN,Vietnam,"Tai Van Village, Soc Trang, Soc Trang, Vietnam","Soc Trang, Vietnam",16XGT21,9/12/2014,FLA-DO,HC6-0141126-3,1,1,,Yes,No,2860,VETDRUGES,,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,Calvin Peters Imports & Exports,S/Cummingsburg,Water St 8,Georgetown,,GY,Guyana,"S/Cummingsburg, Georgetown, , Guyana","Georgetown, Guyana",16XGT21,6/6/2016,FLA-DO,HH7-0311326-1,5,1,,Yes,No,"249, 482, 328, 320",FILTHY, NUTRIT LBL, USUAL NAME, LACKS FIRM,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,SUNTRACO FOOD INDUSTRIES SDN BHD,No. 1 & 3 Jln Korporat 3/Ku9,,Klang,Selangor,MY,Malaysia,"No. 1 & 3 Jln Korporat 3/Ku9, Klang, Selangor, Malaysia","Klang, Malaysia",16JCT05,2/28/2017,NYK-DO,KM6-3502078-7,31,1,,No,Yes,2860,VETDRUGES,,,,,,,SHRIMP & PRAWNS
3010000000,Suryamitra Exim PVT Ltd.,Unit Ii,No 2/138 D Yanamadurru Village,Dirusumarru,Andhra Pradesh,IN,India,"Unit Ii, Dirusumarru, Andhra Pradesh, India","Dirusumarru, India",16XGN21,4/1/2017,DNEI,KM6-1500124-5,11,1,,Yes,Yes,"3220, 2860",NITROFURAN, VETDRUGES,,,,,,"SHRIMP AND PRAWNS, AQUACULTURE HARVESTED FISHERY/SEAFOOD PRODUCTS"
3010000000,Khoi Nguyen Packing Business Household,District 1,"426 Vo, Van Kiet St",Ho Chi Minh,,VN,Vietnam,"District 1, Ho Chi Minh, , Vietnam","Ho Chi Minh, Vietnam",16YCE12,4/28/2017,DNEI,KM6-3502149-6,121,1,,Yes,No,249,FILTHY,,,,,,,"SHRIMP PASTE, FISHERY PRODUCTS, N.E.C."
